Symbol,Date,Open,High,Low,Close,Volume
BAC,2023-11-16,29.43,29.7,29.22,29.54,36952800
BAC,2023-11-17,29.71,30.0,29.55,29.98,38493300
BAC,2023-11-20,29.98,30.25,29.75,30.01,46783400
BAC,2023-11-21,29.99,29.99,29.55,29.66,41611900
BAC,2023-11-22,29.74,29.79,29.52,29.63,41422700
BAC,2023-11-24,29.48,29.89,29.48,29.73,15815600
BAC,2023-11-27,29.6,29.69,29.51,29.56,42039500
BAC,2023-11-28,29.53,29.65,29.32,29.53,29705800
BAC,2023-11-29,29.88,30.61,29.81,30.31,57954900
BAC,2023-11-30,30.21,30.55,30.040001,30.49,52547700
BAC,2023-12-01,30.4,31.049999,30.35,30.96,46088100
BAC,2023-12-04,30.53,31.0,30.52,30.82,37811300
BAC,2023-12-05,30.68,30.79,30.33,30.58,45723100
BAC,2023-12-06,30.78,31.52,30.44,30.53,49803100
BAC,2023-12-07,30.59,30.93,30.54,30.66,32699600
BAC,2023-12-08,30.67,31.14,30.61,30.96,34786800
BAC,2023-12-11,30.92,31.08,30.71,30.85,32254000
BAC,2023-12-12,30.77,30.86,30.45,30.74,34566700
BAC,2023-12-13,30.75,32.13,30.63,32.040001,60311100
BAC,2023-12-14,32.62,34.07,32.57,33.94,107190000
BAC,2023-12-15,33.82,34.02,33.29,33.6,83732200
BAC,2023-12-18,33.71,33.79,33.41,33.43,40694700
BAC,2023-12-19,33.029999,33.67,32.8,33.51,44534800
BAC,2023-12-20,33.38,33.71,32.95,32.98,44711400
BAC,2023-12-21,33.24,33.45,32.89,33.2,32325700
BAC,2023-12-22,33.21,33.67,33.2,33.43,37258100
BAC,2023-12-26,33.45,33.96,33.37,33.86,24845400
BAC,2023-12-27,33.8,33.95,33.66,33.84,24498600
BAC,2023-12-28,33.82,33.97,33.77,33.88,21799600
BAC,2023-12-29,33.94,33.99,33.55,33.67,28037800
BAC,2024-01-02,33.39,34.07,33.27,33.9,36668600
BAC,2024-01-03,33.65,33.77,33.24,33.53,45988700
BAC,2024-01-04,33.57,34.31,33.54,33.8,39834600
BAC,2024-01-05,33.8,34.69,33.71,34.43,49228900
BAC,2024-01-08,34.3,34.3,33.64,34.16,40253900
BAC,2024-01-09,33.82,33.84,33.51,33.63,39268800
BAC,2024-01-10,33.5,33.63,33.24,33.6,34904000
BAC,2024-01-11,33.36,33.5,32.78,33.15,48790600
BAC,2024-01-12,32.25,33.19,31.96,32.8,74320300
BAC,2024-01-16,32.41,32.51,31.82,32.12,58420800
BAC,2024-01-17,31.72,31.99,31.27,31.8,48811300
BAC,2024-01-18,31.75,31.77,31.4,31.73,35484400
BAC,2024-01-19,31.8,32.23,31.57,32.22,49331400
BAC,2024-01-22,32.36,32.99,32.32,32.55,43903400
BAC,2024-01-23,32.54,32.82,32.39,32.77,30003400
BAC,2024-01-24,33.029999,33.34,32.91,32.98,36403900
BAC,2024-01-25,33.21,33.45,32.83,33.39,46204000
BAC,2024-01-26,33.4,33.67,33.32,33.43,30839800
BAC,2024-01-29,33.4,33.65,33.24,33.61,30269300
BAC,2024-01-30,33.9,34.89,33.84,34.79,60315700
BAC,2024-01-31,34.57,35.099998,34.0,34.0099983,54716000
BAC,2024-02-01,33.93,34.25,32.93,33.55,57084800
BAC,2024-02-02,33.37,33.71,33.17,33.47,40401300
BAC,2024-02-05,33.11,33.29,32.86,32.99,43573000
BAC,2024-02-06,32.92,33.36,32.88,33.040001,27188000
BAC,2024-02-07,33.060001,33.26,32.63,33.18,29660100
BAC,2024-02-08,33.049999,33.28,32.8,33.12,36852200
BAC,2024-02-09,33.099998,33.25,32.84,33.07,36176000
BAC,2024-02-12,33.0,33.97,32.98,33.62,34160400
BAC,2024-02-13,33.12,33.31,32.35,32.75,43801500
BAC,2024-02-14,32.98,33.18,32.87,33.13,27833900
BAC,2024-02-15,33.32,34.24,33.32,34.07,41683100
BAC,2024-02-16,33.92,34.15,32.49,34.09,33257400
BAC,2024-02-20,33.78,34.09,33.77,33.96,30372900
BAC,2024-02-21,33.36,33.74,33.17,33.7,37878900
BAC,2024-02-22,33.37,34.07,33.37,33.61,42756900
BAC,2024-02-23,33.73,34.049999,33.49,33.92,30586000
BAC,2024-02-26,33.79,34.22,33.53,33.61,31129200
BAC,2024-02-27,33.73,34.43,33.71,34.28,40536300
BAC,2024-02-28,34.22,34.6,34.11,34.31,39548600
BAC,2024-02-29,34.33,34.65,34.15,34.52,43863400
BAC,2024-03-01,34.53,34.65,34.029999,34.35,38424200
BAC,2024-03-04,34.29,35.42,34.25,35.15,49136400
BAC,2024-03-05,34.93,35.72,34.87,35.39,47591600
BAC,2024-03-06,35.65,35.79,35.07,35.42,49149700
BAC,2024-03-07,35.6,35.9,35.25,35.63,35900700
BAC,2024-03-08,35.87,36.13,35.5,35.6,42749600
BAC,2024-03-11,35.39,35.93,35.27,35.89,34131500
BAC,2024-03-12,35.9,36.15,35.78,35.96,29260400
BAC,2024-03-13,35.96,36.45,35.96,36.080002,38289600
BAC,2024-03-14,35.92,36.22,35.48,35.69,40178100
BAC,2024-03-15,35.28,36.0099983,35.24,35.41,69638100
BAC,2024-03-18,35.66,36.09,35.39,36.0099983,50617900
BAC,2024-03-19,35.89,36.39,35.85,36.029999,46113800
BAC,2024-03-20,35.84,36.88,35.73,36.75,40519000
BAC,2024-03-21,36.93,37.6,36.88,37.51,43219500
BAC,2024-03-22,37.41,37.61,37.0,37.049999,28955900
BAC,2024-03-25,37.099998,37.28,36.84,36.86,30480200
BAC,2024-03-26,37.0,37.24,36.8,37.09,33673400
BAC,2024-03-27,37.25,37.85,37.24,37.81,36350200
BAC,2024-03-28,37.72,38.0,37.42,37.92,42262500
BAC,2024-04-01,37.94,38.35,37.44,37.52,33908000
BAC,2024-04-02,37.19,37.58,37.16,37.3,34806800
BAC,2024-04-03,37.4,38.02,37.27,37.44,33338500
BAC,2024-04-04,37.7,37.96,36.87,36.92,42888200
BAC,2024-04-05,36.81,37.34,36.73,37.11,30818000
BAC,2024-04-08,37.2,37.58,37.13,37.5,29470300
BAC,2024-04-09,37.51,37.77,37.2,37.73,30977700
BAC,2024-04-10,37.18,37.23,36.55,36.65,37610700
BAC,2024-04-11,36.75,36.75,36.049999,36.35,38604000
BAC,2024-04-12,35.81,36.09,35.53,35.79,47118300
BAC,2024-04-15,36.33,36.76,35.76,35.95,44392000
BAC,2024-04-16,36.099998,36.17,34.15,34.68,95566100
BAC,2024-04-17,34.89,35.75,34.75,35.23,65951400
BAC,2024-04-18,35.54,35.99,35.18,35.77,44506200
BAC,2024-04-19,36.099998,37.12,36.060001,36.97,56240900
BAC,2024-04-22,37.0,37.91,36.87,37.73,43867100
BAC,2024-04-23,37.94,38.42,37.83,38.37,39180300
BAC,2024-04-24,38.02,38.49,38.0,38.32,28670600
BAC,2024-04-25,37.93,38.27,37.38,37.91,41116000
BAC,2024-04-26,37.93,38.31,37.78,37.83,28668700
BAC,2024-04-29,37.84,38.060001,37.45,37.55,26438800
BAC,2024-04-30,37.35,37.67,36.98,37.0099983,30283800
BAC,2024-05-01,37.21,37.51,36.77,36.95,32272000
BAC,2024-05-02,37.37,37.49,36.65,36.88,34860300
BAC,2024-05-03,37.25,37.53,37.080002,37.25,34082700
BAC,2024-05-06,37.66,37.79,37.36,37.69,28422300
BAC,2024-05-07,37.7,38.15,37.7,37.84,29119500
BAC,2024-05-08,37.7,37.82,37.52,37.71,32803300
BAC,2024-05-09,37.53,38.42,37.46,38.28,26855400
BAC,2024-05-10,38.48,38.78,38.33,38.45,27359100
BAC,2024-05-13,38.62,38.78,38.18,38.21,24060600
BAC,2024-05-14,38.4,38.79,38.37,38.49,27594800
BAC,2024-05-15,38.8,39.24,38.78,38.91,34084400
BAC,2024-05-16,38.92,39.36,38.71,39.22,32554200
BAC,2024-05-17,39.45,39.49,39.16,39.29,25537300
BAC,2024-05-20,39.26,39.47,38.79,38.82,28369800
BAC,2024-05-21,38.77,39.75,38.77,39.65,31799200
BAC,2024-05-22,39.41,39.81,39.34,39.76,42837600
BAC,2024-05-23,39.77,39.84,38.94,39.17,39033900
BAC,2024-05-24,39.16,39.78,39.07,39.7,22162100
BAC,2024-05-28,39.65,39.74,39.11,39.32,31217900
BAC,2024-05-29,38.84,38.9,38.56,38.72,26677500
BAC,2024-05-30,38.73,39.12,37.59,38.63,51008600
BAC,2024-05-31,38.7,40.080002,38.66,39.99,58188400
BAC,2024-06-03,40.040001,40.19,39.36,39.88,31898600
BAC,2024-06-04,39.62,40.14,39.42,39.68,26974200
BAC,2024-06-05,39.82,39.99,39.52,39.96,34140300
BAC,2024-06-06,39.91,40.0,39.42,39.7,38676400
BAC,2024-06-07,39.28,39.96,39.28,39.78,25928700
BAC,2024-06-10,39.58,39.84,39.21,39.67,37182700
BAC,2024-06-11,39.33,39.35,38.46,38.86,44629000
BAC,2024-06-12,39.8,39.88,39.099998,39.41,38964700
BAC,2024-06-13,39.29,39.35,38.93,39.26,40018700
BAC,2024-06-14,39.099998,39.48,38.91,39.24,32347900
BAC,2024-06-17,39.09,39.53,38.98,39.51,26135400
BAC,2024-06-18,39.56,40.02,39.46,39.99,30804500
BAC,2024-06-20,39.78,40.31,39.75,39.99,29383300
BAC,2024-06-21,39.85,39.91,39.37,39.49,72251500
BAC,2024-06-24,39.77,40.34,39.65,40.02,31064900
BAC,2024-06-25,39.78,40.07,39.35,39.38,30928600
BAC,2024-06-26,39.17,39.35,38.47,39.0,44310200
BAC,2024-06-27,38.7,39.35,38.34,39.25,29464200
BAC,2024-06-28,39.74,40.060001,39.32,39.77,52028200
BAC,2024-07-01,39.91,40.34,39.67,40.0099983,26770500
BAC,2024-07-02,40.0,40.96,39.96,40.93,35626100
BAC,2024-07-03,41.02,41.2,40.75,40.9,17100700
BAC,2024-07-05,40.93,40.96,40.29,40.41,23489000
BAC,2024-07-08,40.6,41.040001,40.43,40.62,26728500
BAC,2024-07-09,40.76,41.83,40.6,41.42,34697200
BAC,2024-07-10,41.28,41.76,41.07,41.74,25333400
BAC,2024-07-11,41.77,41.9,41.39,41.81,33824600
BAC,2024-07-12,41.49,41.92,41.09,41.59,31856600
BAC,2024-07-15,41.85,42.23,41.7,41.89,36648100
BAC,2024-07-16,42.52,44.4,42.22,44.13,75953300
BAC,2024-07-17,43.65,44.44,43.65,43.98,65713600
BAC,2024-07-18,43.62,44.24,42.93,43.0099983,48549200
BAC,2024-07-19,42.86,43.56,42.69,42.9,43903000
BAC,2024-07-22,42.64,42.87,41.96,42.3,42838300
BAC,2024-07-23,42.22,42.78,42.15,42.41,36705100
BAC,2024-07-24,42.28,42.75,42.07,42.19,36567200
BAC,2024-07-25,42.02,42.3,41.66,41.68,41593900
BAC,2024-07-26,41.58,41.96,41.41,41.67,52049300
BAC,2024-07-29,41.78,41.88,40.98,41.09,37133100
BAC,2024-07-30,41.049999,41.89,40.81,41.28,44163200
BAC,2024-07-31,41.23,41.38,40.22,40.31,50851600
BAC,2024-08-01,40.44,40.45,38.98,39.5,60107800
BAC,2024-08-02,38.0,38.53,37.18,37.58,76728000
BAC,2024-08-05,35.65,36.96,35.14,36.65,76075200
BAC,2024-08-06,36.65,37.31,36.54,36.92,40614100
BAC,2024-08-07,38.099998,38.59,37.27,37.3,44952400
BAC,2024-08-08,37.82,38.42,37.66,38.21,36557800
BAC,2024-08-09,38.16,38.45,37.91,38.28,26411200
BAC,2024-08-12,38.5,38.73,38.0099983,38.17,33040600
BAC,2024-08-13,38.37,38.48,38.12,38.46,21553500
BAC,2024-08-14,38.52,38.92,38.43,38.81,25658900
BAC,2024-08-15,39.43,39.68,38.97,39.029999,37379800
BAC,2024-08-16,39.0,39.42,38.99,39.34,26886600
BAC,2024-08-19,39.48,39.74,39.45,39.67,27268900
BAC,2024-08-20,39.12,39.24,38.34,38.69,44440800
BAC,2024-08-21,38.87,38.99,38.39,38.75,33751100
BAC,2024-08-22,38.78,39.29,38.57,39.24,35421600
BAC,2024-08-23,39.27,40.17,39.27,39.77,45616600
