Symbol,Date,Open,High,Low,Close,Volume
GME,2023-11-16,13.14,13.19,12.52,12.53,3425800
GME,2023-11-17,12.52,13.06,12.52,13.03,3414200
GME,2023-11-20,13.0,13.2,12.8,12.8,2294900
GME,2023-11-21,12.65,12.72,12.26,12.55,3710100
GME,2023-11-22,12.56,12.71,12.19,12.29,2358800
GME,2023-11-24,12.22,12.41,12.18,12.2,1232500
GME,2023-11-27,12.18,12.33,11.89,11.91,3710600
GME,2023-11-28,11.9,13.55,11.89,13.49,14192900
GME,2023-11-29,15.49,17.56,14.7,16.25,61172800
GME,2023-11-30,16.29,16.33,14.32,14.55,16537200
GME,2023-12-01,14.52,15.99,14.5,15.3,13347300
GME,2023-12-04,15.29,17.41,14.91,16.98,20098700
GME,2023-12-05,16.47,16.72,14.87,14.91,14220100
GME,2023-12-06,15.36,15.7,14.64,14.84,12691300
GME,2023-12-07,13.71,16.52,13.56,16.36,19840700
GME,2023-12-08,15.83,16.48,15.47,15.55,10375400
GME,2023-12-11,15.45,15.69,14.98,15.07,4961200
GME,2023-12-12,15.12,15.36,14.84,15.22,4210700
GME,2023-12-13,15.22,16.8,15.19,16.69,9086900
GME,2023-12-14,17.14,17.88,16.8,17.44,10750700
GME,2023-12-15,17.4,17.58,17.01,17.26,7110100
GME,2023-12-18,17.24,18.51,17.1,17.86,7352200
GME,2023-12-19,17.89,18.59,17.23,17.72,5447100
GME,2023-12-20,17.53,18.38,16.89,16.93,5553000
GME,2023-12-21,17.19,17.34,16.59,16.98,3975300
GME,2023-12-22,16.78,17.2,16.45,16.97,3325100
GME,2023-12-26,16.98,17.41,16.82,17.36,3079600
GME,2023-12-27,17.43,18.37,17.37,18.37,4800100
GME,2023-12-28,18.049999,18.32,17.85,18.07,3574800
GME,2023-12-29,18.040001,18.16,17.46,17.53,4524200
GME,2024-01-02,17.25,17.6,16.58,16.67,4428000
GME,2024-01-03,16.3,16.83,15.9,16.69,4193600
GME,2024-01-04,16.51,16.75,16.31,16.36,2671500
GME,2024-01-05,16.16,16.52,15.96,15.96,2615700
GME,2024-01-08,15.78,16.12,15.7,15.79,3031100
GME,2024-01-09,15.59,15.62,15.12,15.16,3105300
GME,2024-01-10,15.12,15.76,14.97,15.73,3191700
GME,2024-01-11,15.65,15.8,15.24,15.25,2992200
GME,2024-01-12,15.3,15.62,14.73,14.75,2475500
GME,2024-01-16,14.6,14.62,13.93,13.98,3581200
GME,2024-01-17,13.86,14.11,13.71,14.08,2706200
GME,2024-01-18,14.2,14.77,14.05,14.29,3906000
GME,2024-01-19,14.36,14.6,14.09,14.51,2391500
GME,2024-01-22,14.5,15.16,14.3,14.9,3606500
GME,2024-01-23,15.0,15.02,14.05,14.18,3495300
GME,2024-01-24,14.28,14.38,13.82,13.95,2513800
GME,2024-01-25,13.97,14.54,13.92,14.52,3635900
GME,2024-01-26,14.44,14.72,14.41,14.49,2288800
GME,2024-01-29,14.5,14.81,14.32,14.78,2164200
