Symbol,Date,Open,High,Low,Close,Volume
NFLX,2023-11-16,46.3,46.728,45.965,46.695,36560000
NFLX,2023-11-17,46.695,46.765,46.276,46.591,27985000
NFLX,2023-11-20,46.54,47.676,46.54,47.447,36176000
NFLX,2023-11-21,47.263,47.702,47.121,47.495,29977000
NFLX,2023-11-22,47.68,48.27,47.656,47.8,28416000
NFLX,2023-11-24,47.711,48.040001,47.52,47.956,14047000
NFLX,2023-11-27,47.903,48.2,47.535,47.917,36259000
NFLX,2023-11-28,47.811,48.049999,47.595,47.9,28902000
NFLX,2023-11-29,47.9,48.098999,47.449,47.719,28555000
NFLX,2023-11-30,47.531,47.859,47.042,47.397,42873000
NFLX,2023-12-01,47.317,47.523,46.46,46.574,43415000
NFLX,2023-12-04,46.098999,46.12,45.12,45.39,51577000
NFLX,2023-12-05,45.07,45.639,44.958,45.515,33807000
NFLX,2023-12-06,46.0,46.049999,44.573,44.673,41788000
NFLX,2023-12-07,45.084999,45.289,44.832,45.2,35067000
NFLX,2023-12-08,45.076,45.55,45.076,45.376,34584000
NFLX,2023-12-11,45.936,47.064999,45.721,45.989,49297000
NFLX,2023-12-12,46.523,46.561,45.92,46.3,33027000
NFLX,2023-12-13,46.198,48.125,46.198,47.998,58202000
NFLX,2023-12-14,48.035999,48.076,46.476,46.983,51764000
NFLX,2023-12-15,46.73,47.3,46.73,47.206,78410000
NFLX,2023-12-18,47.63,49.204,47.51,48.612,64107000
NFLX,2023-12-19,48.84,49.614,48.406,49.502,38490000
NFLX,2023-12-20,49.2,50.089001,48.839,48.927,45637000
NFLX,2023-12-21,49.266,49.44,48.677,49.161,27562000
NFLX,2023-12-22,49.4,49.602,48.545,48.676,27027000
NFLX,2023-12-26,48.939,49.148,48.638,49.119,20345000
NFLX,2023-12-27,49.124,49.402,48.925,49.179,25613000
NFLX,2023-12-28,49.2,49.289,48.907,49.050999,17105000
NFLX,2023-12-29,49.036999,49.223,48.194,48.688,27406000
NFLX,2024-01-02,48.319,48.465,46.186,46.85,50494000
NFLX,2024-01-03,46.732,47.505,46.577,47.026001,34437000
NFLX,2024-01-04,47.298,48.074001,46.653,47.467,36365000
NFLX,2024-01-05,47.65,47.955,47.18,47.406,26313000
NFLX,2024-01-08,47.389,48.524,47.365,48.503,36758000
NFLX,2024-01-09,47.553,48.509,47.38,48.209,35268000
NFLX,2024-01-10,48.16,48.7,47.295,47.833,43424000
NFLX,2024-01-11,49.254,50.341,48.382,49.223,79933000
NFLX,2024-01-12,50.050999,50.078999,49.061001,49.216,50037000
NFLX,2024-01-16,49.0,49.415,47.802,48.124,46790000
NFLX,2024-01-17,48.45,48.621,47.526,48.033001,48946000
NFLX,2024-01-18,48.0029984,48.577,47.802,48.531,40544000
NFLX,2024-01-19,48.498,48.567,47.606,48.295,56724000
NFLX,2024-01-22,48.755,48.98,47.99,48.571,52123000
NFLX,2024-01-23,49.2,49.896,48.14,49.219,155060000
NFLX,2024-01-24,53.775,56.25,53.707,54.487,264328000
NFLX,2024-01-25,55.195,56.346,54.846,56.2,94519000
NFLX,2024-01-26,56.181,57.964,55.843,57.042,127706000
NFLX,2024-01-29,57.135,57.855,56.268,57.579,69054000
NFLX,2024-01-30,56.732,57.088001,56.082001,56.285,61818000
NFLX,2024-01-31,56.285,57.215,56.204,56.411,48576000
NFLX,2024-02-01,56.702,57.266,56.383,56.751,31740000
NFLX,2024-02-02,56.452,56.78,56.237,56.464,40328000
NFLX,2024-02-05,56.247,57.575,55.72,56.206,41431000
