Symbol,Date,Open,High,Low,Close,Volume
TSLA,2023-11-16,239.49001,240.88,230.96001,233.59,136816800
TSLA,2023-11-17,232.0,237.39,226.53999,234.3,142532800
TSLA,2023-11-20,234.039993,237.10001,231.020004,235.60001,116320100
TSLA,2023-11-21,235.039993,243.62,233.34,241.2,122288000
TSLA,2023-11-22,242.039993,244.0099945,231.39999,234.21001,117950600
TSLA,2023-11-24,233.75,238.75,232.33,235.45,65125200
TSLA,2023-11-27,236.89,238.33,232.10001,236.080002,112031800
TSLA,2023-11-28,236.67999,247.0,234.0099945,246.72,148549900
TSLA,2023-11-29,249.21001,252.75,242.75999,244.14,135401300
TSLA,2023-11-30,245.14,245.22,236.91,240.080002,132353200
TSLA,2023-12-01,233.14,240.19,231.89999,238.83,121173500
TSLA,2023-12-04,235.75,239.37,233.28999,235.58,104099800
TSLA,2023-12-05,233.87,246.66,233.7,238.72,137971100
TSLA,2023-12-06,242.92,246.57001,239.17,239.37,126436200
TSLA,2023-12-07,241.55,244.080002,236.98,242.64,107142300
TSLA,2023-12-08,240.27,245.27,239.27,243.84,102980100
TSLA,2023-12-11,242.74001,243.44,237.45,239.74001,97913900
TSLA,2023-12-12,238.55,238.99001,233.87,237.0099945,95328300
TSLA,2023-12-13,234.19,240.3,228.2,239.28999,146286300
TSLA,2023-12-14,241.22,253.88,240.78999,251.050003,160829200
TSLA,2023-12-15,251.21001,254.13,248.3,253.5,135720800
TSLA,2023-12-18,253.78,258.73999,251.36,252.080002,116416500
TSLA,2023-12-19,253.48,258.34,253.0099945,257.22,106737400
TSLA,2023-12-20,256.41,259.84,247.0,247.14,125097000
TSLA,2023-12-21,251.89999,254.8,248.55,254.5,109594200
TSLA,2023-12-22,256.76001,258.22,251.37,252.53999,93249800
TSLA,2023-12-26,254.49001,257.97,252.91,256.60999,86892400
TSLA,2023-12-27,258.35001,263.34,257.51999,261.44,106494400
TSLA,2023-12-28,263.66,265.13,252.71001,253.17999,113619900
TSLA,2023-12-29,255.10001,255.19,247.42999,248.48,100615300
TSLA,2024-01-02,250.080002,251.25,244.41,248.42,104654200
TSLA,2024-01-03,244.98,245.67999,236.32001,238.45,121082600
TSLA,2024-01-04,239.25,242.7,237.73,237.92999,102629300
TSLA,2024-01-05,236.86,240.12,234.89999,237.49001,92379400
TSLA,2024-01-08,236.14,241.25,235.3,240.45,85166600
TSLA,2024-01-09,238.11,238.96001,232.039993,234.96001,96705700
TSLA,2024-01-10,235.10001,235.5,231.28999,233.94,91628500
TSLA,2024-01-11,230.57001,230.92999,225.37,227.22,105873600
TSLA,2024-01-12,220.080002,225.34,217.14999,218.89,122889000
